형태소,품사,분류,카운트
#살아있다에,Hashtag,4,1
#살아있다에,Hashtag,5,1
#살아있다의,Hashtag,1,1
#살아있다의,Hashtag,7,1
#어_강동원영어잘하네,Hashtag,2,1
#어_매드맥스,Hashtag,2,1
#어_모하비PPL,Hashtag,2,1
#어_어_엄마,Hashtag,2,1
#어_좀비네,Hashtag,2,1
#억지,Hashtag,4,1
#이레_갓킹존잘이레언니,Hashtag,9,1
#이정현_멋잘생쁨,Hashtag,9,1
#좀비가가미된액션영화,Hashtag,7,1
#폐허가된서울잘표현함,Hashtag,7,1
%%,Punctuation,1,1
%.,Punctuation,10,1
&,Punctuation,1,5
&,Punctuation,2,4
&,Punctuation,3,1
&,Punctuation,4,3
&,Punctuation,6,2
&,Punctuation,7,3
&,Punctuation,8,2
&,Punctuation,9,1
&,Punctuation,10,2
&#...,Punctuation,8,1
&...,Punctuation,7,1
&...,Punctuation,8,1
&...,Punctuation,10,1
&/&/&/&/&/&/&,Punctuation,1,1
',Punctuation,1,96
',Punctuation,2,79
',Punctuation,3,15
',Punctuation,4,51
',Punctuation,5,33
',Punctuation,6,37
