형태소,품사,분류,카운트
뜸,Noun,9,2
뜸,Noun,10,4
뜸,Verb,10,1
뜻,Noun,8,3
뜻,Noun,9,4
뜻,Noun,10,5
띄는,Verb,9,2
띄는,Verb,10,1
띈다,Verb,7,1
띠,Noun,9,1
띵,Noun,10,1
띵작,Noun,10,2
라,Josa,1,8
라,Josa,2,2
라,Josa,3,1
라,Josa,4,4
라,Josa,5,5
라,Josa,6,15
라,Josa,7,24
라,Josa,8,31
라,Josa,9,38
라,Josa,10,74
라고,Josa,1,17
라고,Josa,2,1
라고,Josa,3,5
라고,Josa,4,1
라고,Josa,5,3
라고,Josa,6,8
라고,Josa,7,16
라고,Josa,8,18
라고,Josa,9,36
라고,Josa,10,51
라고까지는,Josa,10,1
라고는,Josa,7,2
라곤,Josa,5,1
라그,Noun,1,1
라그,Noun,9,1
라기,Josa,5,2
라기,Josa,6,2
라기,Josa,7,4
라기,Josa,8,5
라기,Josa,9,5
라기,Josa,10,5
라기보다는,Josa,7,2
라기보다는,Josa,8,1
라기보다는,Josa,9,3
라기보다는,Josa,10,1
라기보단,Josa,1,1
라기보단,Josa,8,3
라기보단,Josa,9,2
라기보단,Josa,10,2
라나,Noun,10,1
라는,Josa,1,11
라는,Josa,2,1
라는,Josa,3,1
라는,Josa,4,4
라는,Josa,5,6
라는,Josa,6,14
라는,Josa,7,21
라는,Josa,8,26
라는,Josa,9,35
라는,Josa,10,37
라니,Josa,1,1
라니,Josa,4,1
라니,Josa,5,1
라니,Josa,6,2
라니,Josa,8,1
라니,Josa,9,2
라니,Josa,10,1
라다,Noun,7,2
라던가,Josa,4,1
라던가,Josa,6,1
라던가,Josa,7,1
라던가,Josa,10,1
라도,Josa,1,4
라도,Josa,5,2
라도,Josa,6,1
라도,Josa,7,1
라도,Josa,8,3
라도,Josa,9,4
라도,Josa,10,9
라든가,Josa,4,1
라든가,Josa,9,1
라든지,Josa,7,1
라라,Noun,10,1
라며,Noun,1,1
라면,Noun,1,4
라면,Noun,2,1
라면,Noun,3,1
라면,Noun,4,2
라면,Noun,5,2
라면,Noun,6,3
라면,Noun,7,9
