,nickname,text,score,like,dislike,time,watch_movie
2796,chri****,결말이 아쉬웠지만 영화내내 긴장감을 늦출 수 없었어요.,9,4,2,2013-06-22 21:02:00,0
2797,곱창소주(woos****),전문가 들이라는게 정도껏해야지  이게 어떻게 6점짜리영화냐  좀비재난물에서 뭐를 더원하길래 저런평점이나오는지  몰겄다,9,4,2,2013-06-22 20:22:00,0
2798,어흥(lion****),최근 본 영화중 긴장감과 비주얼적충격은 과히 압도적이다.결말이 미적지근하다는 사람들이 있던데 난 오히려 이런결말이 좋던데~구성과 연출력도 맘에들고 영화속 곳곳에 등장하는 메타포 찾는재미도 쏠쏠~,10,4,2,2013-06-22 20:20:00,0
2799,차성혜(coo1****),예고편도 안보고 갔는데 난 잼있던걸?ㅎㅎ,10,4,2,2013-06-22 20:17:00,0
2800,조커(hhsu****),내용은 준수했으나 결말이 많이 아쉽고 무엇보다 나는 긴장감이 하나도 느껴지지 않았다,6,4,2,2013-06-22 19:50:00,0
2801,pump****,재밌게 봤습니다ㅎ,10,4,2,2013-06-22 19:35:00,0
2802,스타라이트(socc****),정말재밋어요!ㅎㅎ호,9,4,2,2013-06-22 19:17:00,0
2803,yeil****,너무재밌었어요~,10,4,2,2013-06-22 19:16:00,0
2804,stunningjenny(shy8****),기대없이 보러갔다가 즐기고 나옴.,9,4,2,2013-06-22 19:09:00,0
2805,쵸코(0601****),115분짜리 펩시콜라광고 이걸로 충분함,3,4,2,2013-06-22 18:18:00,0
2806,NANANA(zxcv****),존나재미없다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좀비영화에 좀비는 예고편에서 나오던 부분이 끝 ㅋㅋ,4,4,2,2013-06-22 16:23:00,0
2807,thro****,보고와서 작성합니다. 스케일 자체는 엄청납니다. 인류 전체를 대상으로 나오는 영화거든요. 스케일로 치자면 영화 2012와 비슷합니다. 그런데 너무 평범해요. 가족의 중요성도 떨어집니다. 브래드피트 원톱 영화입니다. ...,7,4,2,2013-06-22 15:41:00,0
2808,yunbaelee(neos****),예고편만 있는게 아니더만... 괜히들 그래... 볼만해요....,10,4,2,2013-06-22 12:28:00,0
2809,dltj****,오랜만에 끝까지 집중하면서 본영화진짜 스릴넘치는데 who에서 시간너무잡아서 좀그랫는데레인(브래드피트)이 멋지게 임무완수하면서 기분을 힐링시켜줌  강추!!! 좀비영화중에 제일 멋잇고 제일재밋음!!,10,4,2,2013-06-22 11:06:00,0
2810,블랙(juns****),제작 발표 때부터 기대한 영화인데 기대한 만큼 재밌었습니다. 시작한지 3분 뒤부터 미친듯이 달려대는데 115분동안 몰입하게 하던데요 ㅋㅋㅋ 재밌었음.,9,4,2,2013-06-22 10:35:00,0
2811,점소녀(x114****),스케일이 거대한건 아니지만 꽤 실감나게 재미있다. ㅎ,10,4,2,2013-06-22 10:18:00,0
2812,탐(jin7****),좀비 영화를 좋아하신다면 꼭추천해줄영화 보는내내 긴장감을 놓칠수없다 간만에 재미있게본영화,10,4,2,2013-06-22 10:04:00,0
2813,qhtj****,별내용이없네 흥분감이없네 자막을읽을줄모르시는건지 영화를안보신건지 현시대에맞춘 최고의내용과 최고의몰입도를보여준영화인데 어디서삼류좀비영화보고오신거같은데 좀비영화에는스토리가 한정되잇는건데 거기서내용따지면 답이없는거네정말,10,4,2,2013-06-22 10:04:00,0
2814,Kugelschreiber(slav****),언젠가 부터 할리우드 영화도 내용보다는 호기심 유발작전으로 흥행을 하려는 경향이 심해졌다. -소설을 보고 영화를 봐야 내용 이해가 더 잘될 수 있을거라 생각되나 실망감은 커질 것이다. -,5,4,2,2013-06-22 09:28:00,0
2815,신극원(sink****),톰 크루즈의 우주전쟁을 보고 난 뒤의 느낌이랄까...,3,4,2,2013-06-22 02:17:00,0
2816,kash****,영화가 소설보다 못하다는 평가가 있다는데. 소설 안보고 영화 봤는데. 이외로 재미있네요. 지루한 면은 없습니다.,9,4,2,2013-06-22 01:48:00,0
2817,소녀본능(tlst****),3D 26000원이 아깝지 않은 영화영화평점을 쓰게 만드는 영화는 이번이 처음인듯너무너무너무너무너무 재미있음,10,4,2,2013-06-22 01:10:00,0
2818,웅컁컁컁이(yjy8****),최근 나온영화중에 제일 재밌다. 긴장감 넘치고 2시간동안 지루하지않고 긴장감 넘쳤다!!!!!!!! 강추,10,4,2,2013-06-22 00:20:00,0
2819,비그(futu****),좀비 영화의 진화,10,4,2,2013-06-22 00:01:00,0
2820,앨리스(supe****),기대안하고봤는데재밋당ㅎㅎ 여운도잇구..,10,4,2,2013-06-21 23:24:00,0
2821,마유게빔(seo0****),좀비영화를 보고싶었던 나에게 이건 걍 재미있는 재난영화일뿐.,7,4,2,2013-06-21 23:11:00,0
2822,체벌왕스팽킹(z08k****),"결말이 쪼~금 아쉬운... ^ 그런대 스케일진짜 ㅎㄷㄷ... 오랜만에 눈이 즐거운 영화였음. 아, 그리고 잔인한거 하나도 안나와요~",9,4,2,2013-06-21 23:10:00,0
2823,킬러F(kjh5****),평점이 8점대인게 이해가안되네 보는내내 긴장감쩔고 재밌었는데 꼭보러가세요 진짜잼있어요콜라한잔의 여유 ㅋㅋ,10,4,2,2013-06-21 22:56:00,0
2824,선화뉨(love****),좋았어!  레지던트이블따라가는거야!  꼬꼬싱 결론은재밋음,10,4,2,2013-06-21 22:56:00,0
2825,꼬마아이(lron****),긴장감 최고 구점 대 영화는 될듯~,10,4,2,2013-06-21 22:54:00,0
2826,문영민(ykkm****),평점을 나쁘게 준 네티즌이 많아 망설이다 오늘 보고 왔는데 괜찮은데 모가 문제인지 왠지 2편이 나올꺼 같은 느낌이.ㅋㅋ 근데 왜 우리나라가 나오나~ㅋㅋ 그래도 우리나라 많이 성장했다 예전엔 일본 아니면 중국 이더구먼...,9,4,2,2013-06-21 22:27:00,0
2827,잔혹한놈(rhfu****),걍 전형적인 헐리우드식 영화에 좀비물을 틀어 넣은 영화 쩝;;,3,4,2,2013-06-21 18:22:00,0
2828,mitochon(lydf****),감독이 허무 개그 좋아하는듯 결론은 좀비는 병걸린 사람은 물지 않는다 ㅋ,7,4,2,2013-06-21 16:08:00,0
2829,idea****,지루하지않고  재밋기만 하더이다...,9,4,2,2013-06-21 15:20:00,0
2830,무소유(grek****),"끝에만 잘 만들었으면 '새벽의 저주' 이후 좀비영화 최대 걸작이었다. 스케일은 사상 최대이고, 1시간 30분까지는 정말 긴박감이 대단했다. 후속작 생각말고, 결말을 만들지. 그게 아쉽고, 현재 평점 8...",10,4,2,2013-06-21 14:24:00,0
2831,젤발르는스님(nw20****),진짜루 완전 재미있음 ㅋㅋㅋㅋ 개 꿀잼 진짜 처음부터 끝까지 긴장감 쩔고 마지막이 살짞 아쉽긴한댕 ㅋ,10,4,2,2013-06-21 12:56:00,0
2832,woru****,별로 재미없당,3,4,2,2013-06-21 12:38:00,0
2833,ehtk****,포디로 들 보세요 솔까 디지털이나 쓰리디로 봤다면 그저 그랬겠지만 포디는 레알입니다.... 그냥 디지털로 봤다면 저도 평점 6~7 줬을듯,10,4,2,2013-06-21 09:25:00,0
2834,설마(gree****),진격의 좀비떼 덕에 심장이 쫄깃. 세상 모든 아빠들을 오징어로 만드는 금발머리 빵아빠의 위력이란.,10,4,2,2013-06-21 09:23:00,0
2835,soulheart(icar****),이 장르에서 이 정도 연출이면 역작(더한 볼거리나 시나리오를 기대한다면 욕심!!)한 획을 그은 작품,10,4,2,2013-06-21 09:17:00,0
